"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"2.29274","0.293249","7.32279","0.319775","-0.00728226","-0.00907326","-12.4607","-9.06849","-37.2246","1"
"-2.32796","-0.695801","10.6641","-1.0323","0.570679","-1.62317","-1.08185","16.0156","-44.7937","0"
"4.04029","-1.17134","4.46147","1.0648","-0.179411","0.682528","-17.2195","-8.3337","-36.1561","1"
"-2.1755","-3.01908","9.55617","-1.99845","0.67189","-2.20746","-3.02429","11.1964","-43.5771","0"
"5.78875","-2.82311","4.24073","0.60551","-0.0403704","-0.0391083","-14.7685","-12.4381","-34.7199","1"
"-5.04499","-1.01367","11.7276","-0.912239","0.0438766","-1.28616","-0.359344","16.0202","-42.9108","0"
"3.82821","-2.28407","3.54782","0.414215","-0.0766166","0.105425","-14.532","-13.9374","-35.352","1"
"-1.68509","-0.340363","9.35645","-1.40848","0.126724","-1.61131","-1.84479","15.6967","-44.0063","0"
"1.79782","-1.83704","9.91815","1.08368","-0.259389","0.608331","-15.5531","-8.02678","-35.3263","1"
"-0.416946","-3.65163","7.35967","-2.78519","0.473587","-3.23481","-0.0183105","3.52631","-44.3253","0"
"4.86112","-2.0845","9.19938","0.327339","-0.0722084","-0.0319691","-12.0913","-8.76427","-36.4416","1"
"-1.33302","-0.63604","9.41236","-0.5355","0.344597","-0.671974","-3.06396","16.362","-42.7673","0"
"3.20308","-1.93067","4.07496","1.06216","-0.107857","0.452975","-16.3396","-14.6833","-32.6057","1"
"-1.08404","-0.673164","13.0517","-2.57489","0.114281","-2.49298","-2.13928","9.03702","-43.7477","0"
"5.55624","-0.564309","4.25683","0.967433","-0.160488","0.556008","-13.5008","-9.74492","-33.8396","1"
"-3.59023","-1.26602","14.1422","-1.78347","0.264257","-1.94583","-2.98564","9.32821","-44.044","0"
"3.70112","-1.04656","8.20436","0.316186","-0.00634766","-0.00458636","-12.667","-14.0307","-34.6922","1"
"-2.08727","-0.486069","9.37516","-0.46167","0.183868","-0.923439","-0.458527","16.5779","-43.7729","0"
"1.34733","0.182316","7.76115","0.431131","0.101009","0.261734","-10.2155","-13.7209","-35.994","1"
"-1.72657","-0.503662","10.568","-0.916222","0.150795","-1.09413","3.21121","16.2704","-44.091","0"
"6.70775","-2.06969","3.27604","0.50133","-0.0514548","0.0443638","-13.5404","-12.1861","-34.508","1"
"-1.92995","0.809364","8.42515","-0.863823","0.162857","-1.32729","0.894165","17.3653","-43.8118","0"
"4.42131","-2.0407","4.47196","0.360057","-0.16314","-0.127454","-13.7063","-11.3286","-36.5341","1"
"-2.03255","-1.71616","12.3419","-0.570755","0.0798416","-0.817764","-3.94211","18.7752","-43.3159","0"
"3.08503","0.257448","6.73799","0.988336","-0.149246","0.451523","-15.5903","-11.0376","-33.8595","1"
"-3.49121","-1.8895","11.2872","-1.63422","0.239593","-1.93519","-0.946554","12.6724","-42.7724","0"
"4.11989","-4.39544","-0.741911","0.461094","0.140802","0.0134125","-14.982","-13.8321","-31.3167","1"
"-3.62572","-2.96695","10.8112","-0.846687","0.0277634","-1.37442","1.67923","20.446","-40.4297","0"
"1.43495","-2.48972","7.26324","1.3623","-0.232702","0.623683","-19.2591","-12.0224","-31.1259","1"
"-2.50956","-0.804006","9.62481","-1.73535","0.476903","-2.06022","-0.579325","9.62219","-44.5379","0"
"2.57636","-1.21372","7.54767","0.20597","-0.120409","0.00335039","-17.0271","-11.4979","-35.6657","1"
"-0.554489","-0.282104","10.0132","-0.37632","0.453156","-0.354813","-4.43344","17.4759","-43.7737","0"
"4.24778","-2.29761","2.95403","0.498021","-0.1097","0.30661","-14.5756","-13.1869","-34.6854","1"
"-2.47149","-2.07052","10.9409","-1.19616","0.220535","-1.1252","-2.70589","19.1635","-41.9423","0"
"4.06721","0.583466","3.93972","0.990583","-0.122986","0.503848","-13.3608","-14.0022","-34.5403","1"
"-2.65515","-0.691833","11.1827","-1.46876","0.202454","-1.34414","0.995382","13.1454","-43.5532","0"
"2.02908","0.561262","7.00446","0.582177","-0.130872","0.283229","-11.3905","-12.8143","-35.1508","1"
"-2.92699","-0.131409","10.9499","-1.02704","0.030009","-1.0024","3.57412","14.4531","-43.099","0"
