"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"-2.19818","1.27927","12.6691","-2.63771","-0.442505","-3.27383","-3.15704","10.9879","-45.2209","1"
"-1.90569","-0.740234","7.91808","-0.238327","0.180618","-0.742935","-10.2158","17.3111","-42.6621","0"
"-1.1515","1.22137","12.2055","0.248489","0.0785522","0.0117493","-8.86688","15.6281","-43.0557","1"
"-4.1386","1.35407","14.5656","1.14783","0.0303345","1.02139","-7.77283","11.7264","-44.7708","1"
"9.29889","-6.77007","6.82951","5.56499","-2.25858","4.17073","-18.7805","-11.2442","-38.2874","1"
"4.40683","-0.407227","-7.87775","2.64313","0.705139","0.0747986","-28.7384","-32.3578","-16.5436","1"
"8.99326","0.566864","-4.15851","-0.399139","0.118393","0.271683","-29.3671","-29.7745","-20.3262","1"
"7.49738","-2.80577","5.51851","-1.00964","0.714554","-1.16997","-22.6501","-32.2357","-22.9645","1"
"-2.88722","-2.52753","14.8994","-4.42741","0.902878","-4.48441","-3.73383","-9.67407","-43.132","1"
"-2.91623","-0.315994","13.5187","-1.82475","-0.567368","-2.28804","-6.94275","13.7726","-43.3243","1"
"-1.32681","1.3679","11.6473","0.11673","0.215057","-0.449219","-10.4568","15.9958","-42.2028","1"
"-5.16429","-1.3157","15.53","0.274323","0.0618591","0.193161","-9.53522","14.4287","-42.9794","1"
"9.43387","-5.34818","6.78593","1.86626","-0.51004","2.16472","-8.87909","7.55463","-44.2413","1"
"6.02997","-0.856262","-4.03722","5.95137","-1.28848","3.58987","-22.5647","-18.6829","-32.3898","1"
"6.55832","2.70245","3.58911","-0.0467072","-0.0191956","0.0986328","-27.3605","-31.4468","-19.0582","1"
"7.55031","-3.14935","2.35866","1.34967","0.605011","0.0720978","-28.476","-29.7943","-20.0562","1"
"-3.27663","-2.52997","20.044","-2.88687","0.667435","-1.84744","-19.3954","-29.4418","-26.8295","1"
"-2.98709","-1.16333","17.0077","-4.13672","0.909256","-3.79642","-3.0838","-1.04675","-44.5145","1"
"-0.399887","-2.00635","7.90392","-1.3195","-0.272186","-1.666","-7.02515","17.1036","-41.7374","0"
"-1.63782","-0.995148","11.2831","-0.257462","0.083786","-0.821487","-9.78546","18.8187","-40.8752","0"
"-1.47163","-0.932739","10.3454","0.215851","0.0630951","-0.105148","-11.5753","18.1198","-40.4282","1"
"1.11423","-3.19722","9.85815","1.49855","-0.12085","1.32379","-10.8887","13.0966","-42.9688","1"
"2.91707","-3.44739","9.59076","5.3918","-1.8204","3.92862","-18.6081","-10.4752","-38.9053","1"
"6.5399","8.64891","11.8513","2.61989","0.696701","0.757477","-28.1433","-31.1661","-19.5831","1"
"12.4155","-2.68233","-13.9588","-0.0808563","-0.0806732","0.139069","-29.8538","-28.6392","-21.2051","1"
"5.16785","-1.69032","3.56744","-0.797607","0.887604","-1.20697","-22.818","-32.1136","-23.14","1"
"-7.34055","-2.57024","18.3032","-4.29164","0.993271","-3.48436","-6.53534","-12.2681","-42.424","1"
"-4.80135","-0.666107","18.4257","-2.1483","-0.0194855","-2.53459","-5.20935","12.5015","-44.3314","1"
"-0.510467","-0.65184","8.46474","-0.317551","0.182098","-0.598557","-7.54395","17.5751","-42.366","0"
"-2.59366","-1.1382","14.842","-0.0835724","0.0594025","-0.389374","-8.22144","18.1427","-41.5649","1"
"-2.59296","1.26102","14.3775","1.37782","-0.454376","1.15701","-9.99756","14.3402","-42.8635","1"
"7.68304","-6.70519","3.94275","5.0302","-1.32527","3.67628","-14.7827","-8.69598","-40.9988","1"
"10.4938","-1.48105","-9.58542","3.08575","0.546967","1.34558","-27.0447","-31.2714","-20.929","1"
"7.18813","8.19983","12.0558","-1.18187","-0.519638","-0.0213928","-29.4159","-27.9251","-23.0835","1"
"4.39705","-3.64944","6.92828","0.77002","0.954575","-0.442993","-25.5554","-31.5979","-21.788","1"
"4.10503","-4.60808","9.39157","-4.4129","0.988602","-2.9409","-12.915","-18.3701","-38.6765","1"
"-5.08508","-0.0804138","25.1064","-3.0322","-0.297714","-3.24875","-6.53839","9.85107","-45.079","0"
"-1.68901","-0.342117","7.16022","-0.256561","0.416306","-0.945099","-12.5046","16.7603","-41.6794","1"
"-1.39758","-0.150375","9.78493","0.188309","0.0813293","-0.0454712","-11.0901","15.6433","-42.482","1"
"2.13686","-5.15982","10.8889","1.22578","-0.0673065","0.999832","-10.4813","11.8866","-43.7653","1"
"11.5785","-5.08191","-13.5518","5.13142","-1.50916","4.09377","-16.8564","-10.0647","-39.8331","1"
"9.08566","11.8817","15.7833","2.32092","0.972305","0.592331","-26.358","-30.9509","-21.756","1"
"14.575","-1.56851","-11.7348","-0.526062","-0.382416","0.00706482","-27.858","-27.301","-25.0977","1"
