"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"2.09341","0.653763","14.7882","1.89516","-0.480469","1.67941","-13.7222","-28.5828","-36.1893","cop"
"4.19557","-3.06657","6.49017","4.10303","-0.258911","2.81543","-29.9255","-33.0795","-11.9659","cop"
"7.564","-3.89735","-4.20602","4.57228","-0.535385","2.15482","-39.0594","-18.0634","10.9879","cop"
"10.141","2.82011","4.85699","0.168655","0.0139771","1.01881","-39.7141","-2.48871","14.7446","cop"
"8.09784","-6.77921","-8.07873","0.612045","0.326828","-0.131302","-39.3616","0.115967","13.9282","cop"
"1.36179","-4.31609","10.8118","-1.7554","0.662674","-0.216049","-41.5421","-2.1637","10.4813","cop"
"0.201874","-3.62828","15.5044","-3.79652","1.94235","-2.81331","-41.8167","-17.4408","-6.72913","cop"
"-0.0602417","-1.92131","12.6206","-3.5274","0.763336","-2.87402","-29.425","-22.4213","-29.8126","cop"
"0.397247","-2.32927","9.28354","-1.2388","0.378662","-1.58511","-19.9188","-18.5089","-41.275","cop"
"1.42467","-2.0042","10.8017","-0.136459","0.52597","-0.626999","-12.3581","-16.2537","-44.7464","cop"
"0.516159","-1.22929","11.0806","-0.0671387","-0.0384827","0.0473785","-1.9165","-20.7825","-44.0338","hungry"
"5.70184","-2.87958","12.4125","0.550766","-1.12169","1.18404","-8.77228","-20.6421","-42.3935","hungry"
"4.50619","-1.49306","5.86722","3.33192","-3.5153","3.43654","-38.9053","-18.6676","-12.706","hungry"
"1.32304","-1.75484","-1.83133","3.48294","-2.32748","-0.0100708","-40.2801","-11.3388","14.8376","hungry"
"1.295","-7.10971","-2.33257","1.88382","-0.411331","0.0599518","-32.341","-4.11224","27.2034","hungry"
"24.228","-8.62734","8.45325","-0.237289","1.84473","2.01265","-36.7508","7.92694","17.5125","hungry"
"17.1308","-3.8179","7.85245","-1.19218","1.64978","0.67395","-36.3632","19.9097","8.34351","hungry"
"4.78659","3.63849","5.33768","0.345734","0.675644","-2.1783","-43.4784","6.67267","0.96283","hungry"
"6.73743","-9.66962","0.148438","2.50021","-2.39665","-1.50209","-39.9155","-5.79529","16.9922","hungry"
"13.1299","-8.7354","7.51355","1.02998","0.652725","1.3208","-36.8225","1.06201","20.7703","hungry"
"10.4756","-3.94168","9.33897","-1.73955","2.1597","2.04675","-37.5778","16.0568","10.6674","hungry"
"3.49887","-2.83421","7.94893","-2.86816","3.37521","-0.964172","-40.976","16.7389","2.22168","hungry"
"0.987244","-0.638748","11.552","0.0469818","-0.0272675","0.0246735","-6.17523","-22.4304","-39.6286","hungry"
"6.49619","0.906799","15.1099","0.098114","-1.00726","0.457291","-10.556","-22.084","-38.3026","hungry"
"3.66927","1.51402","4.2838","2.69392","-3.11388","2.99361","-35.054","-19.7906","-16.2323","hungry"
"-1.45569","-3.28606","-2.00349","3.48306","-2.1234","0.193726","-40.3351","-12.4664","13.3087","hungry"
"5.57231","-8.06497","0.0686646","1.89296","0.0574188","0.719376","-36.4624","-4.1748","21.9101","hungry"
"21.5886","-8.536","7.44588","-0.816086","1.45522","1.99855","-38.7421","9.57031","14.3051","hungry"
"17.0947","-0.240952","7.62122","-1.26454","1.36256","0.466522","-37.9318","19.0689","8.19244","hungry"
"3.73358","0.954376","0.794632","0.113739","0.335373","-2.08771","-42.746","7.10754","5.99518","hungry"
"-1.22212","0.327316","-0.817566","2.46521","-1.7748","-1.83145","-38.6978","-7.84607","17.0914","hungry"
"7.1458","-12.1664","3.99321","1.34973","0.297867","1.24855","-35.0845","-1.37634","22.8226","hungry"
"12.8368","-10.5763","5.71931","-1.16019","1.89389","2.26593","-36.4441","14.7171","13.7802","hungry"
"6.02834","-5.49246","7.44655","-2.68542","3.34792","-0.900482","-39.3921","17.5934","3.72314","hungry"
"-0.149109","-0.287186","14.1349","-0.0401764","-0.0532837","0.0503998","0.98877","-18.6157","-37.7975","hungry"
"3.61818","1.52455","11.772","0.529388","-1.00014","0.894302","-4.88739","-19.3726","-35.3485","hungry"
"9.30249","3.90491","5.76862","3.04222","-2.87422","3.03262","-29.8035","-20.0073","-11.3174","hungry"
"-0.962997","-5.10507","-0.290985","3.50778","-3.17314","-0.254196","-30.69","-10.5362","27.7161","hungry"
"9.49573","-11.5334","2.90971","1.54391","1.23029","1.32457","-29.9271","0.813293","28.6713","hungry"
"18.8771","-6.17291","9.24348","-0.960541","2.10199","1.96425","-34.14","16.716","15.419","hungry"
"13.9087","-1.27541","7.24409","-1.11276","1.27676","-0.186783","-34.2056","23.024","8.8913","hungry"
"5.05489","0.915543","2.09962","0.311066","0.229309","-2.02359","-39.3082","9.50165","7.12433","hungry"
"1.51767","-0.903778","-0.190323","2.26913","-2.07045","-1.84467","-35.6949","-6.47736","19.87","hungry"
"7.04718","-11.0898","2.54219","1.26363","0.0954895","1.08789","-31.044","-1.52588","27.5818","hungry"
