"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"-1.15732","-2.35798","9.67639","-0.176114","-0.0791969","0.0940653","23.1157","-11.7851","-44.3231","about"
"-1.93049","-2.5967","9.44952","-0.151331","-0.132066","-0.018692","25.9167","-12.3369","-44.1531","about"
"-1.64699","-2.18459","9.58749","-0.161491","-0.0589003","0.113957","24.1297","-12.4316","-43.9855","about"
"-1.65787","-2.80726","9.80376","-0.248712","-0.1366","0.0974472","24.205","-11.4322","-43.6311","about"
"4.34115","-0.296265","5.53892","0.220021","0.305217","-0.0680649","-32.8854","-19.9181","-25.7373","cop"
"4.92739","-0.706758","6.67808","0.0126366","0.200777","-0.0243683","-33.7427","-14.7638","-27.8458","cop"
"4.74211","-0.325551","7.91302","0.0116378","0.186286","-0.00447787","-32.6616","-15.3311","-29.3733","cop"
"4.03163","-1.21464","7.01386","0.0465037","0.205772","-0.0787175","-31.6315","-14.9022","-30.5397","cop"
"4.06765","-1.0316","8.61597","-0.0278417","0.232802","0.175139","-33.7036","-15.5308","-26.1408","cop"
"7.16789","-5.2544","5.92581","0.505714","0.326861","0.367921","-31.5933","5.94406","-16.7541","hungry"
"5.91995","-3.99664","5.40727","0.572347","0.174545","0.504714","-28.5176","9.06677","-15.0536","hungry"
"6.00537","-3.73745","6.66954","0.407758","0.467926","0.170154","-28.0168","10.4914","-13.4208","hungry"
"6.94148","-4.63488","6.04309","0.443448","0.550062","0.238534","-26.335","13.1463","-9.79135","hungry"
"5.26707","-5.18696","5.31201","0.449571","0.133612","0.534418","-26.8061","11.74","-8.75678","hungry"
"4.82177","-1.9842","7.03448","0.275139","-0.0895315","0.288804","-20.7829","3.72784","-12.1051","headache"
"6.60235","-1.32288","4.47282","0.0928979","0.153947","0.393168","-25.0243","4.16201","-4.91474","headache"
"7.96973","-0.526207","1.44851","0.228475","0.0657921","0.665297","-21.723","4.27259","-6.76893","headache"
"5.26759","-0.990878","2.53724","0.199553","0.119387","0.523051","-24.5996","3.06385","-6.44285","headache"
"6.08449","-1.15138","3.78119","-0.0775691","0.066585","0.354871","-25.7444","3.37383","-6.58678","headache"
"-0.766501","-2.16826","10.683","-0.216078","-0.0147491","0.216063","8.65952","15.2185","-31.6734","about"
"-1.10107","-2.57319","9.93603","-0.206215","-0.0559311","0.112115","11.2483","16.8665","-30.827","about"
"-1.21055","-2.29703","9.2532","-0.174012","-0.0948804","0.0605494","10.7967","16.6267","-31.3688","about"
"-0.999576","-2.47124","10.7566","-0.147789","-0.0552017","0.0956009","12.0926","16.8124","-30.8897","about"
"-2.32123","-2.6349","8.78746","-0.170329","-0.0308563","0.14021","12.0111","16.0181","-31.8007","about"
